res1=0.650171 ; res2=-0.00968627
res1=0.820626 ; res2=-0.287977
res1=0.390004 ; res2=0.106231
res1=0.904005 ; res2=0.769739
res1=1.00466 ; res2=0.644196
res1=0.511651 ; res2=0.1179
res1=1.04572 ; res2=-0.657245
res1=1.01861 ; res2=0.670468
res1=1.03665 ; res2=0.722217
res1=0.232874 ; res2=0.107477
res1=0.241515 ; res2=0.175642
res1=0.597997 ; res2=0.234266
res1=0.929701 ; res2=0.588494
res1=0.93803 ; res2=0.198772
res1=1.06736 ; res2=0.571323
res1=0.563106 ; res2=0.37746
res1=0.421524 ; res2=0.509629
res1=0.563962 ; res2=0.342795
res1=0.326142 ; res2=0.672781
res1=-0.268239 ; res2=-0.687069
res1=0.351169 ; res2=-0.625614
res1=0.383049 ; res2=0.0291533
res1=0.793334 ; res2=0.375884
res1=0.72697 ; res2=0.375751
res1=0.927789 ; res2=0.523012
res1=0.505578 ; res2=0.302416
res1=0.919194 ; res2=0.333336
res1=0.968474 ; res2=0.687681
res1=0.963562 ; res2=0.762151
res1=1.0761 ; res2=-0.533139
res1=0.357744 ; res2=0.620951
res1=0.784011 ; res2=0.310234
res1=0.758763 ; res2=0.266685
res1=0.875039 ; res2=0.0804088
res1=0.938026 ; res2=0.509775
res1=0.980322 ; res2=0.519812
res1=1.03875 ; res2=0.640029
res1=0.239443 ; res2=0.708087
res1=1.07531 ; res2=0.715058
res1=1.05585 ; res2=0.736008
res1=0.363394 ; res2=-0.0476817
res1=0.708796 ; res2=0.153447
res1=0.287081 ; res2=0.957041
res1=0.609241 ; res2=0.079635
res1=0.664025 ; res2=0.192109
res1=0.227244 ; res2=-0.179805
res1=0.751649 ; res2=0.864133
res1=0.602367 ; res2=0.139672
res1=0.230399 ; res2=0.237057
res1=0.672077 ; res2=0.30026
res1=0.767286 ; res2=0.0800658
res1=0.999926 ; res2=0.551926
res1=0.480006 ; res2=0.717299
res1=1.08551 ; res2=0.794793
res1=0.242007 ; res2=0.0957042
res1=0.102987 ; res2=-0.297128
res1=-0.005484 ; res2=-0.191934
res1=0.680512 ; res2=0.182103
res1=0.614983 ; res2=0.0872482
res1=0.0570121 ; res2=-0.0664051
res1=0.445119 ; res2=-0.0655142
res1=0.460694 ; res2=-0.125371
res1=0.308144 ; res2=-0.0442645
res1=0.61272 ; res2=-0.281294
res1=0.57662 ; res2=-0.186054
res1=0.507858 ; res2=0.0347964
res1=0.769115 ; res2=-0.0858296
res1=0.592142 ; res2=0.33696
res1=0.605031 ; res2=0.103294
res1=0.655577 ; res2=0.0849761
res1=0.312649 ; res2=0.408181
res1=0.264074 ; res2=-0.0228645
res1=0.661453 ; res2=-0.34939
res1=0.0210428 ; res2=-0.0754807
res1=0.824978 ; res2=0.883589
res1=0.733817 ; res2=-0.224026
res1=1.12163 ; res2=0.759379
res1=0.508964 ; res2=-0.456884
res1=0.6816 ; res2=0.12897
res1=0.886512 ; res2=-0.428475
res1=0.916033 ; res2=0.507867
res1=0.678378 ; res2=-0.14421
res1=1.05113 ; res2=0.719033
res1=0.967439 ; res2=0.13117
res1=0.49162 ; res2=0.394979
res1=1.0016 ; res2=0.50865
res1=0.612852 ; res2=0.468313
res1=1.05947 ; res2=0.664697
res1=0.40057 ; res2=-0.223919
res1=0.69203 ; res2=0.225816
res1=0.785304 ; res2=0.280936
res1=0.857399 ; res2=0.0141382
res1=0.844557 ; res2=0.59376
res1=0.700651 ; res2=0.620598
res1=1.00138 ; res2=0.36583
res1=1.0053 ; res2=0.631275
res1=1.11112 ; res2=0.866295
res1=0.0350784 ; res2=0.464992
res1=0.756863 ; res2=0.157348
res1=0.962009 ; res2=0.272778
res1=0.911613 ; res2=0.530738
res1=0.678462 ; res2=0.102014
res1=1.03846 ; res2=0.627679
res1=1.07221 ; res2=0.737464
res1=0.657914 ; res2=0.766048
res1=1.05898 ; res2=-0.461836
res1=0.52144 ; res2=-0.283506
res1=0.886411 ; res2=0.455277
res1=0.318884 ; res2=0.465911
res1=0.517302 ; res2=0.265764
res1=0.915743 ; res2=0.163304
res1=0.219626 ; res2=0.510609
res1=0.877841 ; res2=0.20341
res1=1.0279 ; res2=0.565863
res1=0.981107 ; res2=0.519362
res1=0.825716 ; res2=0.516226
res1=0.771434 ; res2=0.276289
res1=0.976392 ; res2=0.595042
res1=1.03468 ; res2=0.645974
res1=0.216615 ; res2=0.639259
res1=0.478661 ; res2=0.420035
res1=0.911951 ; res2=0.752581
res1=0.896552 ; res2=0.345404
res1=0.770923 ; res2=-0.0612297
res1=0.568957 ; res2=-0.250012
res1=0.636675 ; res2=-0.203402
res1=1.02628 ; res2=0.578244
res1=0.740597 ; res2=0.220343
res1=0.953948 ; res2=0.382008
res1=0.720049 ; res2=-0.0918234
res1=0.985408 ; res2=0.504764
res1=1.03857 ; res2=0.675534
res1=0.500563 ; res2=0.441019
res1=0.632205 ; res2=-0.432166
res1=0.58571 ; res2=0.00485924
res1=0.46802 ; res2=-0.0723805
res1=0.0502521 ; res2=0.25602
res1=0.195409 ; res2=0.12106
res1=0.458849 ; res2=0.15092
res1=0.821422 ; res2=-0.138817
res1=0.543755 ; res2=0.295531
res1=0.929511 ; res2=0.425889
res1=0.79467 ; res2=0.351196
res1=0.883539 ; res2=0.234559
res1=0.764695 ; res2=0.40706
res1=0.972426 ; res2=0.587982
res1=0.965428 ; res2=0.512035
res1=0.693968 ; res2=0.360534
res1=0.970562 ; res2=0.566385
res1=1.00887 ; res2=0.544359
res1=0.384027 ; res2=0.0822351
res1=0.163107 ; res2=-0.0171646
res1=0.052807 ; res2=0.0467148
res1=0.639276 ; res2=0.0676568
res1=0.630719 ; res2=0.139645
res1=0.272182 ; res2=-0.246934
res1=0.136592 ; res2=-0.0312638
res1=0.177543 ; res2=-0.351968
res1=0.198398 ; res2=0.147696
res1=0.818057 ; res2=0.311224
res1=0.099218 ; res2=-0.12793
res1=0.322519 ; res2=-0.185898
res1=0.100273 ; res2=-0.287477
res1=0.475194 ; res2=-0.244146
res1=0.119735 ; res2=-0.244222
res1=0.612388 ; res2=-0.227332
res1=0.159672 ; res2=-0.109219
res1=0.36376 ; res2=-0.0207016
res1=0.282921 ; res2=-0.12966
res1=0.336932 ; res2=-0.0328446
res1=0.209279 ; res2=0.322442
res1=0.927559 ; res2=0.884479
res1=0.37505 ; res2=0.361051
res1=0.550259 ; res2=0.973016
res1=0.526075 ; res2=0.820172
res1=0.205905 ; res2=-0.00109101
res1=0.634113 ; res2=-0.392488
res1=0.625479 ; res2=0.0660778
res1=0.638385 ; res2=0.0919595
res1=0.599022 ; res2=0.846619
res1=0.776726 ; res2=0.317697
res1=0.270649 ; res2=0.300026
res1=0.932868 ; res2=-0.252488
res1=0.346346 ; res2=0.412947
res1=1.04991 ; res2=0.774059
res1=0.513475 ; res2=-0.0626396
res1=0.52289 ; res2=-0.00699596
res1=0.658511 ; res2=0.0808272
res1=0.28834 ; res2=-0.0558938
res1=0.759851 ; res2=0.124831
res1=0.891547 ; res2=0.373947
res1=0.774492 ; res2=0.22571
res1=0.862548 ; res2=0.932172
res1=0.533597 ; res2=0.822184
res1=0.69116 ; res2=-0.114618
res1=0.771373 ; res2=-0.104966
res1=0.830887 ; res2=0.389353
res1=0.635954 ; res2=0.161674
res1=0.493315 ; res2=0.322518
res1=0.988761 ; res2=0.504683
res1=1.0212 ; res2=0.500239
res1=0.169196 ; res2=-0.526251
res1=0.514763 ; res2=-0.163927
res1=0.72998 ; res2=-0.232171
res1=0.526553 ; res2=0.860366
